 information summary of job: 

 2/d simple shear, hypoelastic material based on ZJ stress rate, mid-point Eul prescribed displ. 19-10-2023                                                      

       inc       cycl       cut       time step     total time
     (kstep)  (iteration)  back          of             of
        #          #         #         the inc        the job

         1         2         0      0.5000000E-01  0.5000000E-01
         2         2         0      0.5000000E-01  0.1000000E+00
         3         2         0      0.5000000E-01  0.1500000E+00
         4         2         0      0.5000000E-01  0.2000000E+00
         5         2         0      0.5000000E-01  0.2500000E+00
         6         2         0      0.5000000E-01  0.3000000E+00
         7         2         0      0.5000000E-01  0.3500000E+00
         8         2         0      0.5000000E-01  0.4000000E+00
         9         2         0      0.5000000E-01  0.4500000E+00
        10         2         0      0.5000000E-01  0.5000000E+00
        11         2         0      0.5000000E-01  0.5500000E+00
        12         2         0      0.5000000E-01  0.6000000E+00
        13         2         0      0.5000000E-01  0.6500000E+00
        14         2         0      0.5000000E-01  0.7000000E+00
        15         2         0      0.5000000E-01  0.7500000E+00
        16         2         0      0.5000000E-01  0.8000000E+00
        17         2         0      0.5000000E-01  0.8500000E+00
        18         2         0      0.5000000E-01  0.9000000E+00
        19         2         0      0.5000000E-01  0.9500000E+00
        20         2         0      0.5000000E-01  0.1000000E+01
